ResponseID,Latitude,Longitude,LocalTime,UTC
R_3q1mNwx9K1zxvSU,30.163,-98.743,2024-04-08T15:07:00,2024-04-08T20:07:00Z
R_7jGQA5ayN3PAhaf,40.018333,-85.310556,2024-04-08T15:07:00,2024-04-08T19:07:00Z
R_5dhtl8su64RaocV,42.5815,-80.399,2024-04-08T15:17:00,2024-04-08T19:17:00Z
R_7k6XR4OEpKYEnDH,37.7448,-89.253,2024-04-08T14:00:00,2024-04-08T19:00:00Z
R_5lFYtlCG2wujlAl,45.114672,-71.243776,2024-04-08T15:29:00,2024-04-08T19:29:00Z
R_5L5JBcvfy565rah,37.6375,-89.6197,2024-04-08T15:30:00,2024-04-08T20:30:00Z
R_32LU6pKyipqNvLD,29.22697,-100.89242,2024-04-08T12:28:00,2024-04-08T17:28:00Z
R_2eJ8rlmbu9gZfGx,23.917, -104.948,2024-04-08T12:12:00,2024-04-08T18:12:00Z
R_2eJITUgec9aZ3tT,44.941,-72.204,2024-04-08T15:28:00,2024-04-08T19:28:00
R_5DdR4Wt0OJop3EJ,38.743,-88.076,2024-04-08T14:05:00,2024-04-08T19:05:00Z
R_7Pc9Yj1CmydXAMu,32.83990,-96.72381,2024-04-08T12:42:00,2024-04-08T17:42:00Z
R_1Jbdw0E8TUxdKWM,32.83990,-96.72381,2024-04-08T12:43:00,2024-04-08T17:43:00Z
R_1zdrnQVQUkXDHOV,40.988,-82.879,2024-04-08T15:13:00,2024-04-08T19:13:00Z
R_7MlFvQlgFdmd7bE,44.085,-76.141,2024-04-08T15:23:00,2024-04-08T19:23:00Z
R_2L07kIwcnXtVMd6,23.255,-106.457,2024-04-08T11:10:00,2024-04-09T18:10:00Z
R_6hy6qqKQPq05yc0,37.71792,-88.98480,2024-04-08T15:18:00,2024-04-08T20:18:00Z
R_2S2dEePywJi8GwM,37.638,-89.621,2024-04-08T14:01:00,2024-04-08T19:01:00Z
R_7ZJcSLE1ZxoMGtP,30.537277,-98.35742,2024-04-08T13:36:00,2024-04-08T18:36:00Z
R_5SzojpZwnCWabx7,30.612,-98.703,2024-04-08T13:34:00,2024-04-08T18:34:00Z
R_3rZCcwsix3oIlBH,31.02,-97.31,2024-04-08T14:39:00,2024-04-08T18:39:00Z
R_6YucibykX0bINI5,44.081062,-76.196895,2024-04-08T19:23:00,2024-04-08T23:23:00Z
R_2rVr5UeXwodCGdR,32.32812,-96.62907,2024-04-08T13:39:00,2024-04-08T18:39:00Z
R_39nNvR4eAMvamwA,26.988,-102.071,2024-04-08T12:23:00,2024-04-08T18:23:00Z
R_1opy0w14H2UMh1p,32.686694,-98.44125,2024-04-08T11:41:00,2024-04-08T16:34:00Z
R_3QJppz1FmWGTrJV,40.441, -85.380,2024-04-08T15:09:00,2024-04-08T19:09:00Z
